O4	54,000	-4.9	200,000 +
O5	54,000	-4.5	200,000
O6	45,000	-4.0	140,000
O7	43,300	-3.9	120,000
O8	40,600	-3.8	80,000
O9	37,800	-3.6	55,000
B0	29,200	-3.3	24,000
B1	23,000	-2.3	5550
B2	21,000	-1.9	3190
B3	17,600	-1.1	1060
B4	16,400	-0.7	730 +
B5	15,200	-0.4	380
B6	14,300	0	240
B7	13,500	0.3	140
B8	12,300	0.7	73
B9	11,400	1.1	42
A0	9600	1.5	24
A1	9330	1.7	20
A2	9040	1.8	17
A3	8750	2.0	14
A4	8480	2.1	12
A5	8310	2.2	11
A6	8310	2.3	11
A7	7920	2.4	8.8
A8	7920	2.6	7.2 +
A9	7920	2.8	7.2 +
F0	7350	3.0	5.1
F1	7350	3.2	5.1 +
F2	7050	3.3	3.8 
F3	6850	3.5	3.2
F4	6850	3.6	3.2 +
F5	6700	3.7	2.7
F6	6550	4.0	2.0
F7	6400	4.3	1.5
F8	6300	4.4	1.4
F9	6300	4.6	1.4 +
G0	6050	4.7	1.2
G1	5930	4.9	1.1
G2	5800	5.0	1
G3	5800	5.1	1 +
G4	5800	5.2	1 +
G5	5660	5.2	0.73
G6	5660	5.4	0.73 +
G7	5660	5.5	0.73 +
G8	5440	5.6	0.51
G9	5440	5.8	0.51 +
K0	5240	6.0	0.38
K1	5110	6.2	0.32
K2	4960	6.4	0.29
K3	4800	6.7	0.24
K4	4600	7.1	0.18
K5	4400	7.4	0.15
K6	4400	7.7	0.15 +
K7	4000	8.1	0.11
K8	4000	8.3	0.11 +
K9	4000	8.5	0.11 +
M0	3750	8.7	0.080
M1	3700	9.4	0.055
M2	3600	10.1	0.035
M3	3500	10.7	0.027
M4	3400	11.2	0.022
M5	3200	12.3	0.011
M6	3100	13.4	0.0051
M7	2900	13.9	0.0032
M8	2700	14.4	0.0020
M9	2700	14.8	0.0020 +
